wall_s_center,bin,fmax_med,fmax_p25,fmax_p75,n_samples_in_bin,method,noise_pm
1.7009981072877314,20,0.6640589833259583,0.5489641726016998,0.8242126107215881,287.0,GAD dt=0.003 (5k),100
1.953161538297272,21,0.5731303095817566,0.468804731965065,0.7170642912387848,287.0,GAD dt=0.003 (5k),100
2.242706783940277,22,0.4872508645057678,0.40158993005752563,0.6202364861965179,287.0,GAD dt=0.003 (5k),100
2.575175488616556,23,0.4275936186313629,0.3411395996809006,0.5350011885166168,287.0,GAD dt=0.003 (5k),100
2.9569308144332584,24,0.36706507205963135,0.29094333946704865,0.46413369476795197,287.0,GAD dt=0.003 (5k),100
3.395279226598305,25,0.3144591152667999,0.24907583743333817,0.40894240140914917,287.0,GAD dt=0.003 (5k),100
3.8986103328154758,26,0.26461830735206604,0.20921381562948227,0.3491746783256531,287.0,GAD dt=0.003 (5k),100
4.476557453085672,27,0.22669056057929993,0.1798481047153473,0.2949419766664505,287.0,GAD dt=0.003 (5k),100
5.140181993080805,28,0.18941393494606018,0.1524689644575119,0.24930389970541,287.0,GAD dt=0.003 (5k),100
5.902185149836502,29,0.15647372603416443,0.12768784165382385,0.21467620879411697,287.0,GAD dt=0.003 (5k),100
6.777151001626587,30,0.135609433054924,0.10550590977072716,0.18502812087535858,287.0,GAD dt=0.003 (5k),100
7.781825634548344,31,0.11325347423553467,0.08703437447547913,0.1570039615035057,287.0,GAD dt=0.003 (5k),100
